HP,Compaq,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core 2 Duo,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,2990000
Dell,Precision,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,32 GB,NVIDIA,512 GB,Còn bảo hành,Không giao hàng,12790000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Còn bảo hành,Không giao hàng,17200000
Asus,A series,Mới,15 - 16.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng,6000000
HP,Compaq,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core 2 Duo,4 GB,AMD,128 GB,Còn bảo hành,Tự giao hàng,1500000
Lenovo,Dòng Khác,Đã sử dụng (qua sửa chữa),13 - 14.9 inch,Intel Core i3,8 GB,AMD,500 GB,Hết bảo hành,Không giao hàng,4500000
Acer,Aspire,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,NVIDIA,128 GB,Hết bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,7200000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Hết bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,4900000
HP,Elitebook,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,256 GB,Hết bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,3400000
Dell,Inspiron,Mới,15 - 16.9 inch,Intel Core i5,4 GB,NVIDIA,500 GB,Còn bảo hành,Dùng dịch vụ giao hàng,5900000
Dell,Latitude,Mới,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,250 GB,Còn bảo hành,Không giao hàng,11500000
Asus,X series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Celeron,4 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng,4900000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,4 GB,NVIDIA,128 GB,Còn bảo hành,Không giao hàng,5000000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng,15500000
Samsung,Notebook 9,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,8 GB,Khác,256 GB,Còn bảo hành,Không giao hàng,8000000
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,1 TB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,4500000
Acer,Aspire,Đã sử dụng (qua sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,500 GB,Còn bảo hành,Tự giao hàng,3800000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,500 GB,Còn bảo hành,Tự giao hàng,3000000
HP,ProBook,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,256 GB,Còn bảo hành,Không giao hàng,14800000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Khác,256 GB,Còn bảo hành,Dùng dịch vụ giao hàng,7299000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Khác,256 GB,Còn bảo hành,Dùng dịch vụ giao hàng,3800000
Apple,Macbook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,24500000
Asus,N series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,500 GB,Còn bảo hành,Không giao hàng,3200000
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Còn bảo hành,Không giao hàng,12500000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,AMD,128 GB,Còn bảo hành,Không giao hàng,7400000
Sony,S Series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,AMD,500 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,4500000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,AMD,500 GB,Còn bảo hành,Tự giao hàng,7700000
Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Còn bảo hành,Không giao hàng,19000000
HP,Pavilion,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,6700000
HP,Pavilion,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,6000000
Asus,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core 2 Quad,2 GB,NVIDIA,< 128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,500000
Asus,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core 2 Quad,2 GB,NVIDIA,< 128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,14500000
HP,Pavilion,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core 2 Duo,2 GB,Onboard,320 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,1400000
Apple,Macbook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng,25000000
HP,Elitebook,Đã sử dụng (chưa sửa chữa),17 - 18.9 inch,Intel Core i7,8 GB,AMD,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng,9500000
Acer,Aspire,Đã sử dụng (qua sửa chữa),13 - 14.9 inch,Intel Core i3,2 GB,Khác,500 GB,Còn bảo hành,Không giao hàng,1800000
Dell,Latitude,Mới,13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Còn bảo hành,Tự giao hàng,22990000
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,AMD,500 GB,Còn bảo hành,Tự giao hàng,3500000
Samsung,Series 3,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,AMD,500 GB,Còn bảo hành,Tự giao hàng,2000000
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Khác,8 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng,20999000
Asus,X series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng,3000000
Asus,X series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng,
HP,Elitebook,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,AMD,128 GB,Còn bảo hành,Không giao hàng,3200000
Dell,Precision,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,32 GB,NVIDIA,500 GB,Còn bảo hành,Không giao hàng,14500000
Dell,Precision,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,32 GB,NVIDIA,500 GB,Còn bảo hành,Không giao hàng,6800000
Dell,Precision,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,32 GB,NVIDIA,500 GB,Còn bảo hành,Không giao hàng,14500000
Dell,Precision,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,32 GB,NVIDIA,500 GB,Còn bảo hành,Không giao hàng,6800000
Acer,Predator,Mới,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,512 GB,Còn bảo hành,Không giao hàng,39999000
Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng,12000000
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Celeron,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng,1500000
Dell,Latitude,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i7,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng,7200000
Asus,VivoBook S Series,Mới,13 - 14.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng,7800000
